E,18,1,0.11533383402651991,2
S,6,1,0.09480520300163461,3
I,12,1,0.0885545324304026,5
A,13,1,0.07633656680151722,7
R,9,1,0.07098146383333229,11
N,8,1,0.06738530865210449,13
T,9,1,0.06566549066880407,17
O,11,1,0.0653196336945477,19
L,5,1,0.05340397735520395,23
C,3,3,0.04049934678472928,29
D,6,2,0.03463176961381408,31
U,6,1,0.03288670659589642,37
P,3,3,0.029410465329100584,41
M,3,3,0.02830915069392289,43
G,4,2,0.02747732680328438,47
H,3,4,0.023202711316717892,53
B,3,3,0.019012035570253775,59
Y,3,4,0.016327226138708843,61
F,3,4,0.0126414510845898,67
V,3,4,0.009737640977740191,71
K,2,5,0.009120399881348338,73
W,3,4,0.007837320996926416,79
Z,2,10,0.0047971877031436376,83
X,2,8,0.0030047902453186237,89
J,2,8,0.0016876305641634112,97
Q,2,10,0.0016308292362745903,101
